Time [s], Analyzer Name, Decoded Protocol Result
1.586770250000000,Async Serial,0x33
1.586772416666667,Async Serial,0x15
1.586774666666667,Async Serial,0x2A
1.586776916666667,Async Serial,0x00
1.586779083333333,Async Serial,0x53
1.586781333333333,Async Serial,0x04
1.586783583333333,Async Serial,0x69
1.586785750000000,Async Serial,0x39
1.586788000000000,Async Serial,0xE6
1.586790250000000,Async Serial,0x29
1.586792416666667,Async Serial,0x4E
1.586794666666667,Async Serial,0x40
1.586796916666667,Async Serial,0x39
1.586799083333333,Async Serial,0x48
1.586801333333333,Async Serial,0xC1
1.586803583333333,Async Serial,0x40
1.586805750000000,Async Serial,0x5A
1.586808000000000,Async Serial,0xD1
1.586810250000000,Async Serial,0x76
1.586812416666667,Async Serial,0xBE
1.586814666666667,Async Serial,0x56
1.586816916666667,Async Serial,0xBB
1.586819083333333,Async Serial,0xEF
1.586821333333333,Async Serial,0xBE
1.586823583333333,Async Serial,0x00
1.586825750000000,Async Serial,0x00
1.586828000000000,Async Serial,0x00
1.586830250000000,Async Serial,0x00
1.586832416666667,Async Serial,0x00
1.586834666666667,Async Serial,0x00
1.586836916666667,Async Serial,0x00
1.586839083333333,Async Serial,0x00
1.586841333333333,Async Serial,0x00
1.586843583333333,Async Serial,0x00
1.586845750000000,Async Serial,0x00
1.586848000000000,Async Serial,0x00
1.586850250000000,Async Serial,0xC0
1.586940750000000,Async Serial,0xDD
1.586943000000000,Async Serial,0x15
1.586945250000000,Async Serial,0x2A
1.586947416666667,Async Serial,0x00
1.586949666666667,Async Serial,0x53
1.586951916666667,Async Serial,0x04
1.586954083333333,Async Serial,0x69
1.586956333333333,Async Serial,0x39
1.586958583333333,Async Serial,0xE6
1.586960750000000,Async Serial,0x29
1.586963000000000,Async Serial,0x4E
1.586965250000000,Async Serial,0x40
1.586967416666667,Async Serial,0x00
1.586969666666667,Async Serial,0x00
1.586971916666667,Async Serial,0x00
1.586974083333333,Async Serial,0x00
1.586976333333333,Async Serial,0x92
1.586978583333333,Async Serial,0x40
